afiseazaListaClinici,2022-05-20 11:05:38.982
afiseazaListaClinici,2022-05-20 11:05:53.712
afiseazaListaClinici,2022-05-20 11:06:11.322
afiseazaListaClinici,2022-05-20 11:06:52.049
infoClinica,2022-05-20 11:06:58.243
infoClinica,2022-05-20 11:07:09.503
infoClinica,2022-05-20 11:07:12.567
afiseazaListaSpecializari,2022-05-20 11:07:24.44
afiseazaListaSpecializari,2022-05-20 11:07:30.055
afiseazaListaSpecializari,2022-05-20 11:07:46.037
afiseazaListaSpecializari,2022-05-20 11:07:51.183
adresaClinica,2022-05-20 11:07:57.251
adresaClinica,2022-05-20 11:08:01.245
adresaClinica,2022-05-20 11:08:05.011
afiseazaListaMedici,2022-05-20 11:08:14.384
afiseazaListaMedici,2022-05-20 11:08:24.741
afiseazaIstoricProgramari,2022-05-20 11:08:28.434
inregistrareProgramare,2022-05-20 11:09:18.014
afiseazaIstoricProgramari,2022-05-20 11:09:21.675
modificareProgramare,2022-05-20 11:10:00.551
afiseazaIstoricProgramari,2022-05-20 11:10:03.538
stergeProgramare,2022-05-20 11:10:16.516
afiseazaIstoricProgramari,2022-05-20 11:10:21.814
afiseazaListaClinici,2022-05-20 11:36:23.083
infoClinica,2022-05-20 11:36:32.902
afiseazaListaSpecializari,2022-05-20 11:36:44.582
adresaClinica,2022-05-20 11:37:01.531
afiseazaListaClinici,2022-05-20 11:37:17.909
adresaClinica,2022-05-20 11:38:37.794
adresaClinica,2022-05-20 11:38:42.973
adresaClinica,2022-05-20 11:38:45.678
afiseazaListaMedici,2022-05-20 11:38:53.923
afiseazaListaMedici,2022-05-20 11:38:57.693
adaugatClientNou,2022-05-20 11:40:33.997
adaugatMedicNou,2022-05-20 11:41:38.564
adaugatMedicNou,2022-05-20 11:42:19.635
adaugatMedicNou,2022-05-20 11:42:58.576
adaugatMedicNou,2022-05-20 11:43:44.602
medicSters,2022-05-20 11:43:57.318
modifcareClient,2022-05-20 11:44:57.484
modificareMedic,2022-05-20 11:46:10.341
adaugareClinica,2022-05-20 11:47:19.178
afiseazaListaClinici,2022-05-20 11:47:29.357
clinicaModificata,2022-05-20 11:48:22.054
afiseazaListaClinici,2022-05-20 11:48:27.153
stergereClinica,2022-05-20 11:50:21.274
afiseazaListaClinici,2022-05-20 11:50:28.219
